cell,units,label,against,spearman,n
nuScenes mono brake J,test,G,dE_E5_combined,0.6138195067407322,955
nuScenes mono brake J,test,G,dE_E6_risk_weighted,0.6080746139785262,955
nuScenes mono brake J,test,Q,G,0.6491097217019882,955
nuScenes mono brake J,test,G,G context 1000 (code default),1.0,955
nuScenes mono plan_ade JC_ade,fit,Q,dE_exact,0.46286408770012183,1903
nuScenes mono plan_ade JC_ade,fit,Q,dE_E5_combined,0.5735794845853291,1903
nuScenes mono plan_ade JC_ade,fit,Q,dE_E6_risk_weighted,0.40203398064793383,1903
nuScenes mono plan_ade JC_ade,fit,G,dE_exact,0.7262149552525369,1903
nuScenes mono plan_ade JC_ade,fit,G,dE_E5_combined,0.6489251526153547,1903
nuScenes mono plan_ade JC_ade,fit,G,dE_E6_risk_weighted,0.6263067003001799,1903
nuScenes mono plan_ade JC_ade,fit,Q,G,0.613396402415194,1903
nuScenes mono plan_ade JC_ade,fit,G,G context 1000 (code default),0.9977639670285599,1903
nuScenes mono plan_ade JC_ade,test,Q,dE_exact,0.4866348218417677,752
nuScenes mono plan_ade JC_ade,test,Q,dE_E5_combined,0.5614174902028568,752
nuScenes mono plan_ade JC_ade,test,Q,dE_E6_risk_weighted,0.39380995421543524,752
nuScenes mono plan_ade JC_ade,test,G,dE_exact,0.7121975274115409,752
nuScenes mono plan_ade JC_ade,test,G,dE_E5_combined,0.6365013262106946,752
nuScenes mono plan_ade JC_ade,test,G,dE_E6_risk_weighted,0.5935920353986051,752
nuScenes mono plan_ade JC_ade,test,Q,G,0.633752904841342,752
nuScenes mono plan_ade JC_ade,test,G,G context 1000 (code default),1.0,752
nuScenes mono plan_fde JC_fde,fit,Q,dE_exact,0.46286408770012183,1903
nuScenes mono plan_fde JC_fde,fit,Q,dE_E5_combined,0.5735794845853291,1903
nuScenes mono plan_fde JC_fde,fit,Q,dE_E6_risk_weighted,0.40203398064793383,1903
nuScenes mono plan_fde JC_fde,fit,G,dE_exact,0.7262149552525369,1903
