task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
plannerC_path_dev,oracle,uncertainty [scene-z],0.3,0.1664178480372455,0.07177638922710237,0.23949965355893507,0.02315917416470041
plannerC_path_dev,oracle,uncertainty [scene-z],0.5,0.25582009637891534,0.12571027304247911,0.37366890364188987,0.035600641618342414
plannerC_path_dev,oracle,criticality [scene-z],0.1,0.07216073592370305,-0.001175769079074824,0.14585525516653147,0.008619651978360243
plannerC_path_dev,oracle,criticality [scene-z],0.2,0.1989283723518409,0.08633739787919971,0.30291520994700494,0.02720224063846444
plannerC_path_dev,oracle,criticality [scene-z],0.3,0.2545048606188767,0.12985158935643185,0.38218216512075537,0.03541760972366511
plannerC_path_dev,oracle,criticality [scene-z],0.5,0.36482195233738424,0.22525714444967262,0.4836508544549689,0.050769645401234686
plannerC_path_dev,oracle,perception_oracle_dE [scene-z],0.1,0.25313892955462686,0.1398315409072441,0.394553829067377,0.030237627804164474
plannerC_path_dev,oracle,perception_oracle_dE [scene-z],0.2,0.39573070883864964,0.2670635971603484,0.5058625155701911,0.05411375884994233
plannerC_path_dev,oracle,perception_oracle_dE [scene-z],0.3,0.4474337487316841,0.32621226548189736,0.5781647205214551,0.062266134529769555
plannerC_path_dev,oracle,perception_oracle_dE [scene-z],0.5,0.5220829217598617,0.3750427054925132,0.639447160452863,0.07265452267323058
plannerC_path_dev,oracle,best_dE_metric (E6_risk_weighted) [scene-z],0.1,0.3391000391085923,0.18987989149971587,0.5020232145607623,0.04050574437121703
plannerC_path_dev,oracle,best_dE_metric (E6_risk_weighted) [scene-z],0.2,0.41728648384682543,0.2691058062127402,0.543635234970219,0.057061379503490446
plannerC_path_dev,oracle,best_dE_metric (E6_risk_weighted) [scene-z],0.3,0.43606082981711536,0.29760582435712607,0.5753995323232842,0.06068344725788171
plannerC_path_dev,oracle,best_dE_metric (E6_risk_weighted) [scene-z],0.5,0.49506110847300333,0.3410888832558522,0.609424479903989,0.06889409140015998
plannerC_path_dev,oracle,multimetric_dE_oracle [scene-z],0.1,0.29615609928770936,0.15445182241130218,0.41316121018989554,0.03537605977061877
plannerC_path_dev,oracle,multimetric_dE_oracle [scene-z],0.2,0.33775776386205775,0.19233263792238778,0.4646015890305464,0.04618631249762155
plannerC_path_dev,oracle,multimetric_dE_oracle [scene-z],0.3,0.3763517943905863,0.24754717456846442,0.5071836177250356,0.05237417053691504
plannerC_path_dev,oracle,multimetric_dE_oracle [scene-z],0.5,0.42236869761989554,0.28411510670278933,0.5421205604805105,0.058778011765346395
plannerC_path_dev,oracle,PKL_gain [scene-z],0.1,0.7719488647044515,0.720390488127997,0.8266687190186488,0.09220984893887443
plannerC_path_dev,oracle,PKL_gain [scene-z],0.2,0.8003318087461988,0.7520496364644552,0.8374038382715013,0.10944048953271461
plannerC_path_dev,oracle,PKL_gain [scene-z],0.3,0.8125344384756519,0.7651744792126068,0.8506826068329582,0.11307456980974272
plannerC_path_dev,oracle,PKL_gain [scene-z],0.5,0.8510776223558107,0.813524358598448,0.8884316628287884,0.11843834730639018
plannerC_path_dev,oracle,TIP_gain [scene-z],0.1,0.770321015207546,0.7087829077603564,0.8192932491540518,0.09201540114178837
plannerC_path_dev,oracle,TIP_gain [scene-z],0.2,0.7872128622428091,0.7380442795062546,0.8307149887267914,0.10764655367786748
plannerC_path_dev,oracle,TIP_gain [scene-z],0.3,0.80917009540333,0.7432764823550613,0.8545024600750167,0.11260637839830068
plannerC_path_dev,oracle,TIP_gain [scene-z],0.5,0.8451381764310953,0.8003513196533569,0.8815717944665457,0.11761179736457433
plannerC_ade_truth,oracle,random,0.1,0.037849557165087276,-0.04187423075202596,0.11321569800434021,0.0014999903788471343
plannerC_ade_truth,oracle,random,0.2,0.06139849455764053,-0.02860479434584002,0.15606804961106358,0.002706908703838289
plannerC_ade_truth,oracle,random,0.3,0.10148473665283715,-0.02213570635522995,0.2067495146295707,0.004488930813867988
plannerC_ade_truth,oracle,random,0.5,0.15986556501430985,-0.03371345641218215,0.2927767325107645,0.007071264946215825
plannerC_ade_truth,oracle,uncertainty,0.1,0.048534900952498246,-0.027591120463437768,0.14711423329083745,0.0019234540618139385
plannerC_ade_truth,oracle,uncertainty,0.2,0.13381028040316514,0.017197591810781596,0.24680278821788318,0.0058993663492241995
plannerC_ade_truth,oracle,uncertainty,0.3,0.12861868889169645,-0.018049757501899178,0.2549419961961918,0.005689135281301394
plannerC_ade_truth,oracle,uncertainty,0.5,0.09472643622057754,-0.1261516493509357,0.24931438789634294,0.004189993810527995
plannerC_ade_truth,oracle,criticality,0.1,-0.023322879493863004,-0.23789496864314127,0.14194815909699143,-0.0009242933727128314
plannerC_ade_truth,oracle,criticality,0.2,0.015507804761077984,-0.2073086026121888,0.17539871150409092,0.0006837009927951566
plannerC_ade_truth,oracle,criticality,0.3,0.06502318411151246,-0.2125152108170209,0.253661241260541,0.0028761426043058037
plannerC_ade_truth,oracle,criticality,0.5,0.12473789488831363,-0.1704938451575621,0.356457688311563,0.0055174777852224285
plannerC_ade_truth,oracle,perception_oracle_dE,0.1,0.13298661219800242,0.02646627678932952,0.2650238496987391,0.005270303109291837
plannerC_ade_truth,oracle,perception_oracle_dE,0.2,0.22768252359926583,0.08824767499951651,0.3641419973215469,0.010037962808096636
plannerC_ade_truth,oracle,perception_oracle_dE,0.3,0.22332993312449065,0.039334655201937005,0.35648944685492945,0.009878457111151961
plannerC_ade_truth,oracle,perception_oracle_dE,0.5,0.18372515309682375,-0.07453107468071696,0.36264959084284387,0.008126635868802733
plannerC_ade_truth,oracle,best_dE_metric (E1_fn_only),0.1,0.13298661219800242,0.02646627678932952,0.2650238496987391,0.005270303109291837
plannerC_ade_truth,oracle,best_dE_metric (E1_fn_only),0.2,0.22768252359926583,0.08824767499951651,0.3641419973215469,0.010037962808096636
plannerC_ade_truth,oracle,best_dE_metric (E1_fn_only),0.3,0.22332993312449065,0.039334655201937005,0.35648944685492945,0.009878457111151961
plannerC_ade_truth,oracle,best_dE_metric (E1_fn_only),0.5,0.18372515309682375,-0.07453107468071696,0.36264959084284387,0.008126635868802733
plannerC_ade_truth,oracle,multimetric_dE_oracle,0.1,0.03175964760422351,-0.15451208467751365,0.16570998323176026,0.001258645263249036
plannerC_ade_truth,oracle,multimetric_dE_oracle,0.2,0.040813189306658865,-0.15085272263543822,0.1843500358902341,0.0017993531952461635
plannerC_ade_truth,oracle,multimetric_dE_oracle,0.3,0.05674442260429785,-0.13386018825045423,0.2089047146607748,0.002509951698598202
plannerC_ade_truth,oracle,multimetric_dE_oracle,0.5,0.06449131476068348,-0.12146817050162961,0.21374886050001707,0.0028526166555115974
plannerC_ade_truth,oracle,PKL_gain,0.1,0.3863805854684917,0.138611910052361,0.5278709624592128,0.015312389475210497
plannerC_ade_truth,oracle,PKL_gain,0.2,0.3590051308682751,0.12960466673445167,0.5369157447516529,0.015827653763686722
plannerC_ade_truth,oracle,PKL_gain,0.3,0.3890259096693152,0.1597739698723106,0.5623429861337104,0.017207616149031935
plannerC_ade_truth,oracle,PKL_gain,0.5,0.3986266926930432,0.17344492365680272,0.5647852499263808,0.017632283465260006
plannerC_ade_truth,oracle,TIP_gain,0.1,0.3747981119952636,0.10842712632202227,0.5581686784506105,0.01485337224821055
plannerC_ade_truth,oracle,TIP_gain,0.2,0.3759169350619067,0.1162481914248459,0.5440952276241402,0.01657325364034776
plannerC_ade_truth,oracle,TIP_gain,0.3,0.3699537883491168,0.1300554163407564,0.5340291146216439,0.01636400718965771
plannerC_ade_truth,oracle,TIP_gain,0.5,0.37287465288924554,0.13901667617143262,0.5417936764618985,0.016493204537650748
plannerC_ade_truth,oracle,decision_oracle_dJ,0.1,1.0,1.0,1.0,0.039630328363015485
plannerC_ade_truth,oracle,decision_oracle_dJ,0.2,1.0,1.0,1.0,0.044087541939600156
plannerC_ade_truth,oracle,decision_oracle_dJ,0.3,1.0,1.0,1.0,0.0442325709453619
